cod,nome,cod_depto
CDT1101,TECNOLOGIA SOCIAL E INOVAÇÃO,643
CDS0004,AGRICULTURA E MEIO AMBIENTE,640
CDS0007,INTRODUÇÃO AO DESENVOLVIMENTO SUSTENTÁVEL,640
CDS0008,"MEIO AMBIENTE, CULTURA E SOCIEDADE",640
CDS0010,TRABALHO INTERDISCIPLINAR INTEGRADO 1,640
CDS0011,SISTEMAS SOCIOAMBIENTAIS E COMPLEXIDADE,640
CDS0012,POLÍTICAS PÚBLICAS E MEIO AMBIENTE,640
CDS0013,POPULAÇÃO E MEIO AMBIENTE,640
CDS0015,INDICADORES DE DESENVOLVIMENTO SUSTENTÁVEL,640
CDS0019,PRÁTICA DE PESQUISA 1,640
CET0001,PLANEJAMENTO E GESTÃO EM TURISMO 1,314
CET0002,LEGISLAÇÃO TURÍSTICA,314
CET0005,PLANEJAMENTO E GESTÃO EM TURISMO 2,314
CET0006,FUNDAMENTOS DE ESTATÍSTICA APLICADO AO TURISMO,314
CET0007,PROJETO INTEGRADOR EM TURISMO 3,314
CET0012,ENOTURISMO,314
CET0013,PESQUISA EM TURISMO,314
CET0014,ESTRUTURAÇÃO E PROMOÇÃO DE DESTINOS,314
CET0015,SEMINÁRIOS EM TURISMO 3,314
CET0022,ELABORAÇAO DE PROJETOS EM TURISMO,314
CET0032,SEMINÁRIOS EM TURISMO 4,314
CET0036,SEMINÁRIOS EM TURISMO 6,314
CET0037,SEMINÁRIOS EM TURISMO 7,314
CET0038,ESTUDO DO TURISMO 1,314
CET0039,SUSTENTABILIDADE ÉTICA E TURISMO,314
CET0040,ESTUDO DO TURISMO 2,314
CET0041,CONSTRUÇÃO DO CONHECIMENTO CIENTÍFICO,314
CET0042,PROJETO INTEGRADOR EM TURISMO 1,314
CET0043,ESTUDO DO TURISMO 3,314
CET0044,COMUNICAÇÃO NO TURISMO,314
CET0045,ESTRUTURAS DE SUPORTE AO TURISMO,314
CET0046,SEMINÁRIOS EM TURISMO 1,314
CET0050,EQUIPAMENTOS E SERVIÇOS TURÍSTICOS,314
CET0051,EQUIPAMENTOS E SERVIÇOS TURÍSTICOS,314
CET0052,EQUIPAMENTOS E SERVIÇOS TURISTICOS-AGENCIAMENTO OPERAÇÃO E TRANSPORTE,314
CET0053,EQUIPAMENTOS E SERVIÇOS TURÍSTICOS,314
CET0054,EQUIPAMENTOS E SERVIÇOS TURÍSTICOS,314
CET0055,PROJETO INTEGRADOR EM TURISMO 2,314
CEM0005,METODOLOGIA E TÉCNICAS DE PESQUISA CIENTÍFICA,650
CEM0005,DECRESCIMENTO: CONSUMIR MENOS PARA QUE TODOS VIVAM MELHOR,650
CEM0007,ARTE E MANIFESTAÇÕES CULTURAIS,650
CEM0007,SAÚDE DIREITOS HUMANOS E ANTROPOLOGIA,650
CEM0007,ARTE E MANIFESTAÇÕES CULTURAIS,650
CEM0008,"BENS COMUNS, DIREITOS DA NATUREZA E CONFLITOS NA AMAZÔNIA",650
CEM0009,GESTÃO E INOVAÇÃO DE PROCESSOS CRÍTICOS EM ORGANIZAÇÃO DE SERVIÇO,650
CEM0015,"UNIVERSIDADE, SOCIEDADE E ESTADO",650
CEM0018,LAYA YOGA,650
CEM0021,DIVERSIDADE SEXUAL E DE GÊNERO E POLÍTICAS PÚBLICAS,650
CEM0030,MÓDULO 1,650
CEM0043,CULTURA PODER E RELAÇÕES RACIAIS,650
CEM0047,TÓPICOS ESPECIAIS SOBRE A AMAZÔNIA,650
CEM0051,PROMOÇÃO DA SAÚDE 3,650
CEM0054,INTRODUÇÃO A GESTÃO AMBIENTAL,650
CEM0058,DIREITOS DA CRIANCA E DO ADOLESCENTE,650
CEM0067,MULTICULTURALISMO E BUDISMO NA CONTEMPORANEIDADE,650
CEM0097,DIREITOS HUMANOS E CIDADANIA,650
CEM0110,AGRICULTURA ALTERNATIVA,650
CEM0125,"HISTÓRIA E CINEMA: PERSPECTIVAS DOS FEMINISMOS NEGROS, DECOLONIAIS E INTERSECCIONAIS",650
CEM0126,DIREITOS HUMANOS,650
CEM0129,"ESTUDOS DISCURSIVOS CRÍTICOS, CORPOS E INTERSECCIONALIDADES",650
CEM0131,"RAÇA, CIÊNCIA E SAÚDE DA POPULAÇÃO NEGRA",650
CEM0132,EXPERIÊNCIAS HISTÓRICAS DE REFORMA AGRÁRIA NO MUNDO,650
CEM0239,INTRODUÇÃO À HISTÓRIA DO PENSAMENTO ITALIANO,650
CBH0002,BIOÉTICA E BIOTECNOCIÊNCIAS,1448
CER0002,TÓPICOS EM ESTUDOS DO CERRADO 2,677
DEG0229,PESQUISA CIENTÍFICA EM GRANDES TEMAS 1,130
DPG0022,TEORIA QUÂNTICA 1,170
DPG0229,PETROLOGIA DE ROCHAS GRANÍTICAS,170
DPG0308,POÉTICAS CONTEMPORÂNEAS,170
DPG0421,CONTROLE NÃO LINEAR,170
DPG0568,ESTUDOS LABORATORIAIS,170
DPG0660,TREINAMENTO E DESENVOLVIMENTO DE PESSOAL,170
DPG0675,MODELOS LINEARES GENERALIZADOS,170
DPG0849,FADIGA MULTIAXIAL,170
DPG0928,MORFOLOGIA,170
DPG0942,INSTRUMENTAÇÃO EM BIOMECÂNICA,170
DPG1040,"CATÁLISE HETEROGÊNEA: FUNDAMENTOS, ATUALIDADES E APLICAÇÕES",170
DPG1046,GRUPOS PROFINITOS,170
DPG1165,TEORIA DOS GRUPOS FINITOS 2,170
DPG1229,SEMINÁRIO DE PESQUISA EM EDUCAÇÃO AMBIENTAL I,170
DPG1230,INTRODUÇÃO A SISTEMAS DE MATERIAIS NANOESTRUTURADOS,170
DPG1231,SEMINÁRIO EM PSICOLOGIA DA SAÚDE 1,170
DPG1232,INTRODUÇÃO À MECÂNICA DA FRATURA,170
DPG1233,LINGÚISTICA ANTROPOLÓGICA,170
DPG1237,TECNICAS NAO LINEARES EM CONTROLE,170
DEX1102,PENSAMENTO NEGRO CONTEMPORÂNEO,158
DEX1104,CRIATIVIDADE E INTUIÇÃO NA PRODUÇÃO DO CONHECIMENTO,158
DEX1108,CONSTRUÇÃO DE PROJETOS SOCIAIS MULTIDISCIPLINARES,158
DAP0008,ARGUMENTO E ROTEIRO,351
DAP0011,CRIATIVIDADE EM PUBLICIDADE,351
DAP0021,CINEMA BRASILEIRO,351
DAP0030,ADMINISTRAÇÃO PUBLICITÁRIA,351
DAP0042,DOCUMENTÁRIO 2,351
DAP0044,PESQUISA PUBLICITÁRIA,351
